stack,position,hand,allin,raise,call,fold,boundary,source_frame
4,UTG,AA,100,0,0,0,false,frame_000.00.png
4,UTG,AKs,100,0,0,0,false,frame_000.00.png
4,UTG,AQs,100,0,0,0,false,frame_000.00.png
4,UTG,AJs,100,0,0,0,false,frame_000.00.png
4,UTG,ATs,100,0,0,0,false,frame_000.00.png
4,UTG,A9s,100,0,0,0,false,frame_000.00.png
4,UTG,A8s,100,0,0,0,false,frame_000.00.png
4,UTG,A7s,100,0,0,0,false,frame_000.00.png
4,UTG,A6s,100,0,0,0,false,frame_000.00.png
4,UTG,A5s,100,0,0,0,false,frame_000.00.png
4,UTG,A4s,100,0,0,0,false,frame_000.00.png
4,UTG,A3s,100,0,0,0,false,frame_000.00.png
4,UTG,A2s,100,0,0,0,false,frame_000.00.png
4,UTG,AKo,100,0,0,0,false,frame_000.00.png
4,UTG,KK,100,0,0,0,false,frame_000.00.png
4,UTG,KQs,100,0,0,0,false,frame_000.00.png
4,UTG,KJs,100,0,0,0,false,frame_000.00.png
4,UTG,KTs,100,0,0,0,false,frame_000.00.png
4,UTG,K9s,100,0,0,0,false,frame_000.00.png
4,UTG,K8s,100,0,0,0,false,frame_000.00.png
4,UTG,K7s,100,0,0,0,false,frame_000.00.png
4,UTG,K6s,100,0,0,0,false,frame_000.00.png
4,UTG,K5s,76,0,0,24,false,frame_000.00.png
4,UTG,K4s,0,0,0,100,false,frame_000.00.png
4,UTG,K3s,0,0,0,100,false,frame_000.00.png
4,UTG,K2s,0,0,0,100,false,frame_000.00.png
4,UTG,AQo,100,0,0,0,false,frame_000.00.png
4,UTG,KQo,100,0,0,0,false,frame_000.00.png
4,UTG,QQ,100,0,0,0,false,frame_000.00.png
4,UTG,QJs,100,0,0,0,false,frame_000.00.png
4,UTG,QTs,100,0,0,0,false,frame_000.00.png
4,UTG,Q9s,100,0,0,0,false,frame_000.00.png
4,UTG,Q8s,100,0,0,0,false,frame_000.00.png
4,UTG,Q7s,0,0,0,100,false,frame_000.00.png
4,UTG,Q6s,0,0,0,100,false,frame_000.00.png
4,UTG,Q5s,0,0,0,100,false,frame_000.00.png
4,UTG,Q4s,0,0,0,100,false,frame_000.00.png
4,UTG,Q3s,0,0,0,100,false,frame_000.00.png
4,UTG,Q2s,0,0,0,100,false,frame_000.00.png
4,UTG,AJo,100,0,0,0,false,frame_000.00.png
4,UTG,KJo,100,0,0,0,false,frame_000.00.png
4,UTG,QJo,100,0,0,0,false,frame_000.00.png
4,UTG,JJ,100,0,0,0,false,frame_000.00.png
4,UTG,JTs,100,0,0,0,false,frame_000.00.png
4,UTG,J9s,100,0,0,0,false,frame_000.00.png
4,UTG,J8s,0,0,0,100,false,frame_000.00.png
4,UTG,J7s,0,0,0,100,false,frame_000.00.png
4,UTG,J6s,0,0,0,100,false,frame_000.00.png
